====================================================================================================
COMPREHENSIVE CLASSIFICATION REPORT
Frequency Domain CNN - Fruits-360 Dataset (6-channel: Magnitude + 1 Phase Component)
====================================================================================================

OVERALL METRICS:
----------------------------------------------------------------------------------------------------
Overall Accuracy:           0.819520 (81.9520%)
Cohen's Kappa Score:        0.818634
Total Test Samples:         39212
Number of Classes:          225
Correctly Classified:       32135
Misclassified:              7077

====================================================================================================
PER-CLASS METRICS:
====================================================================================================

Class Name                     Precision    Recall       F1-Score     Sensitivity   Specificity   Error Rate   Support   
----------------------------------------------------------------------------------------------------
Apple 10                       0.679878     0.965368     0.797853     0.965368      0.997306      0.002882     231       
Apple 11                       0.961832     0.887324     0.923077     0.887324      0.999872      0.000536     142       
Apple 12                       0.596567     0.902597     0.718346     0.902597      0.997593      0.002780     154       
Apple 13                       0.971963     0.885106     0.926503     0.885106      0.999846      0.000842     235       
Apple 14                       0.593023     0.662338     0.625767     0.662338      0.998208      0.003111     154       
Apple 17                       1.000000     0.402985     0.574468     0.402985      1.000000      0.003060     201       
Apple 18                       0.935897     0.912500     0.924051     0.912500      0.999744      0.000612     160       
Apple 19                       0.667647     0.941909     0.781411     0.941909      0.997100      0.003239     241       
Apple 5                        0.933775     0.965753     0.949495     0.965753      0.999744      0.000383     146       
Apple 6                        0.632653     0.987261     0.771144     0.987261      0.997696      0.002346     157       
Apple 7                        0.771739     0.930131     0.843564     0.930131      0.998384      0.002015     229       
Apple 8                        0.542683     0.390351     0.454082     0.390351      0.998076      0.005458     228       
Apple 9                        0.862434     0.705628     0.776190     0.705628      0.999333      0.002397     231       
Apple Braeburn 1               1.000000     0.128049     0.227027     0.128049      1.000000      0.003647     164       
Apple Core 1                   0.986755     0.955128     0.970684     0.955128      0.999949      0.000230     156       
Apple Crimson Snow 1           1.000000     0.006757     0.013423     0.006757      1.000000      0.003749     148       
Apple Golden 1                 0.968992     0.781250     0.865052     0.781250      0.999898      0.000995     160       
Apple Golden 2                 0.792929     0.957317     0.867403     0.957317      0.998950      0.001224     164       
Apple Golden 3                 0.722772     0.453416     0.557252     0.453416      0.999283      0.002958     161       
Apple Granny Smith 1           0.723618     0.878049     0.793388     0.878049      0.998591      0.001913     164       
Apple Pink Lady 1              0.325843     0.572368     0.415274     0.572368      0.995392      0.006248     152       
Apple Red 1                    0.427046     0.731707     0.539326     0.731707      0.995877      0.005228     164       
Apple Red 2                    0.926230     0.689024     0.790210     0.689024      0.999770      0.001530     164       
Apple Red 3                    0.488038     0.708333     0.577904     0.708333      0.997261      0.003800     144       
Apple Red Delicious 1          0.906593     0.993976     0.948276     0.993976      0.999565      0.000459     166       
Apple Red Yellow 1             0.869565     0.731707     0.794702     0.731707      0.999539      0.001581     164       
Apple Red Yellow 2             0.786290     0.890411     0.835118     0.890411      0.998641      0.001964     219       
Apple Rotten 1                 0.930818     0.913580     0.922118     0.913580      0.999718      0.000638     162       
Apple hit 1                    0.775801     0.931624     0.846602     0.931624      0.998384      0.002015     234       
Apple worm 1                   0.839080     0.948052     0.890244     0.948052      0.998923      0.001377     231       
Apricot 1                      0.892086     0.756098     0.818482     0.756098      0.999616      0.001403     164       
Avocado 1                      0.750000     0.986014     0.851964     0.986014      0.998797      0.001250     143       
Avocado Black 1                0.881226     0.995671     0.934959     0.995671      0.999205      0.000816     231       
Avocado Black 2                1.000000     0.963415     0.981366     0.963415      1.000000      0.000230     246       
Avocado Green 1                0.935223     1.000000     0.966527     1.000000      0.999590      0.000408     231       
Avocado ripe 1                 0.917722     0.873494     0.895062     0.873494      0.999667      0.000867     166       
Banana 1                       0.962963     0.939759     0.951220     0.939759      0.999846      0.000408     166       
Banana 3                       0.974684     1.000000     0.987179     1.000000      0.999949      0.000051     77        
Banana 4                       0.763636     1.000000     0.865979     1.000000      0.999336      0.000663     84        
Banana Lady Finger 1           0.961538     0.986842     0.974026     0.986842      0.999846      0.000204     152       
Banana Red 1                   0.912791     0.945783     0.928994     0.945783      0.999616      0.000612     166       
Beans 1                        1.000000     1.000000     1.000000     1.000000      1.000000      0.000000     77        
Beetroot 1                     0.786164     0.833333     0.809061     0.833333      0.999130      0.001505     150       
Blackberrie 1                  0.963768     0.886667     0.923611     0.886667      0.999872      0.000561     150       
Blackberrie 2                  1.000000     1.000000     1.000000     1.000000      1.000000      0.000000     75        
Blackberrie half rippen 1      0.875000     0.980000     0.924528     0.980000      0.999462      0.000612     150       
Blackberrie not rippen 1       0.875486     1.000000     0.933610     1.000000      0.999179      0.000816     225       
